"acceptDates","acceptAmount","counterParties","avgPerPart","award","amountDelta"
2021-09-30,1604.881,92,17.44,0.05,189.04
2021-09-29,1415.84,80,17.7,0.05,50.65
2021-09-28,1365.185,83,16.45,0.05,68.13
2021-09-27,1297.05,77,16.84,0.05,-16.61
2021-09-24,1313.657,78,16.84,0.05,-38.83
2021-09-23,1352.483,77,17.56,0.05,69.2
2021-09-22,1283.281,77,16.67,0.05,42.79
2021-09-21,1240.494,78,15.9,0.05,16.2
2021-09-20,1224.289,77,15.9,0.05,5.99
2021-09-17,1218.303,79,15.42,0.05,70.81
2021-09-16,1147.494,74,15.51,0.05,66.15
2021-09-15,1081.342,75,14.42,0.05,-87.94
2021-09-14,1169.28,80,14.62,0.05,82.17
2021-09-13,1087.108,77,14.12,0.05,-12.22
2021-09-10,1099.323,75,14.66,0.05,-8.34
2021-09-09,1107.659,73,15.17,0.05,-7.57
2021-09-08,1115.229,71,15.71,0.05,35.28
2021-09-07,1079.945,77,14.03,0.05,5.24
2021-09-03,1074.707,74,14.52,0.05,7.72
2021-09-02,1066.987,70,15.24,0.05,-17.13
2021-09-01,1084.115,72,15.06,0.05,-105.5
2021-08-31,1189.616,82,14.51,0.05,48.9
2021-08-30,1140.711,79,14.44,0.05,20.7
2021-08-27,1120.015,76,14.74,0.05,28.22
2021-08-26,1091.792,76,14.37,0.05,-55.3
2021-08-25,1147.089,77,14.9,0.05,17.35
2021-08-24,1129.737,77,14.67,0.05,-5.96
2021-08-23,1135.697,76,14.94,0.05,23.79
2021-08-20,1111.905,78,14.26,0.05,1.97
2021-08-19,1109.938,78,14.23,0.05,-5.72
2021-08-18,1115.656,82,13.61,0.05,62.2
2021-08-17,1053.454,70,15.05,0.05,17.04
2021-08-16,1036.418,70,14.81,0.05,-14.52
2021-08-13,1050.941,70,15.01,0.05,-36.4
2021-08-12,1087.342,74,14.69,0.05,86.88
2021-08-11,1000.46,70,14.29,0.05,1.81
2021-08-10,998.654,71,14.07,0.05,16.89
2021-08-09,981.765,70,14.03,0.05,29.63
2021-08-06,952.134,68,14,0.05,7.8
2021-08-05,944.335,70,13.49,0.05,12.58
2021-08-04,931.755,69,13.5,0.05,22.31
2021-08-03,909.442,72,12.63,0.05,-11.88
2021-08-02,921.317,70,13.16,0.05,-118.08
2021-07-30,1039.394,86,12.09,0.05,52.11
2021-07-29,987.283,76,12.99,0.05,22.09
2021-07-28,965.189,74,13.04,0.05,37.77
2021-07-27,927.419,71,13.06,0.05,36.22
2021-07-26,891.203,70,12.73,0.05,13.95
2021-07-23,877.251,76,11.54,0.05,-20.95
2021-07-22,898.197,73,12.3,0.05,11.99
2021-07-21,886.206,71,12.48,0.05,38.1
2021-07-20,848.102,75,11.31,0.05,-12.37
2021-07-19,860.468,71,12.12,0.05,42.9
2021-07-16,817.566,72,11.36,0.05,41.31
2021-07-15,776.261,69,11.25,0.05,-83.71
2021-07-14,859.975,75,11.47,0.05,61.71
2021-07-13,798.267,73,10.94,0.05,21.8
2021-07-12,776.472,70,11.09,0.05,-4.12
2021-07-09,780.596,68,11.48,0.05,-12.8
2021-07-08,793.399,72,11.02,0.05,7.68
2021-07-07,785.72,65,12.09,0.05,13.14
2021-07-06,772.581,66,11.71,0.05,41.08
2021-07-02,731.504,69,10.6,0.05,-11.14
2021-07-01,742.647,70,10.61,0.05,-249.29
2021-06-30,991.939,90,11.02,0.05,150.69
2021-06-29,841.246,74,11.37,0.05,38.23
2021-06-28,803.019,75,10.71,0.05,32.19
2021-06-25,770.83,74,10.42,0.05,-42.22
2021-06-24,813.048,75,10.84,0.05,-0.52
2021-06-23,813.573,73,11.14,0.05,21.97
2021-06-22,791.605,74,10.7,0.05,26.46
2021-06-21,765.141,68,11.25,0.05,18.02
2021-06-18,747.121,61,12.25,0.05,-8.68
2021-06-17,755.8,68,11.11,0.05,234.86
2021-06-16,520.942,53,9.83,0,11.38
2021-06-15,509.559,45,11.32,0,-74.33
2021-06-14,583.892,59,9.9,0,36.08
2021-06-11,547.808,49,11.18,0,12.87
2021-06-10,534.943,54,9.91,0,32.04
2021-06-09,502.904,59,8.52,0,5.48
2021-06-08,497.428,46,10.81,0,11.33
2021-06-07,486.097,46,10.57,0,2.75
2021-06-04,483.349,42,11.51,0,4.25
2021-06-03,479.102,40,11.98,0,40.32
2021-06-02,438.778,46,9.54,0,-9.21
2021-06-01,447.985,43,10.42,0,-31.51
2021-05-28,479.498,50,9.59,0,-5.83
2021-05-27,485.329,50,9.71,0,35.05
2021-05-26,450.283,46,9.79,0,17.33
2021-05-25,432.955,48,9.02,0,38.01
2021-05-24,394.941,54,7.31,0,25.89
2021-05-21,369.046,52,7.1,0,17.93
2021-05-20,351.121,48,7.32,0,57.12
2021-05-19,293.998,43,6.84,0,50.53
2021-05-18,243.47,36,6.76,0,34.51
2021-05-17,208.96,38,5.5,0,-32.22
2021-05-14,241.185,34,7.09,0,5.97
2021-05-13,235.217,36,6.53,0,25.96
2021-05-12,209.257,39,5.37,0,27.5
2021-05-11,181.753,28,6.49,0,6.2
2021-05-10,175.548,26,6.75,0,13.69
2021-05-07,161.856,28,5.78,0,6.94
2021-05-06,154.921,20,7.75,0,-7.88
2021-05-05,162.8,29,5.61,0,14.99
2021-05-04,147.806,30,4.93,0,18.08
2021-05-03,129.724,26,4.99,0,-53.51
2021-04-30,183.234,32,5.73,0,9.77
2021-04-29,173.469,38,4.56,0,6.74
2021-04-28,166.732,33,5.05,0,24.56
2021-04-27,142.172,31,4.59,0,41.26
2021-04-26,100.916,26,3.88,0,27.12
2021-04-23,73.794,18,4.1,0,-28.85
2021-04-22,102.644,25,4.11,0,21.32
2021-04-21,81.329,33,2.46,0,13.58
2021-04-20,67.747,28,2.42,0,13.95
2021-04-19,53.798,23,2.34,0,13.86
2021-04-16,39.94,8,4.99,0,11.31
2021-04-15,28.626,9,3.18,0,-22.23
2021-04-14,50.856,19,2.68,0,13.31
2021-04-13,37.543,16,2.35,0,7.32
2021-04-12,30.221,15,2.01,0,-1.04
2021-04-09,31.265,11,2.84,0,3.62
2021-04-08,27.64,10,2.76,0,-7.39
2021-04-07,35.035,15,2.34,0,16.08
2021-04-06,18.951,8,2.37,0,15.5
2021-04-05,3.45,4,0.86,0,-6.12
2021-04-01,9.575,5,1.91,0,-124.73
2021-03-31,134.307,41,3.28,0,29.58
2021-03-30,104.725,35,2.99,0,64.37
2021-03-29,40.354,22,1.83,0,28.9
2021-03-26,11.45,12,0.95,0,1.35
2021-03-25,10.1,5,2.02,0,-11.8
2021-03-24,21.902,10,2.19,0,2.38
2021-03-23,19.526,12,1.63,0,-2.72
2021-03-22,22.242,25,0.89,0,3.33
2021-03-19,18.908,20,0.95,0,-7.66
2021-03-18,26.57,25,1.06,0,26.57
2021-03-17,0,0,NA,0,-0.7
2021-03-16,0.702,3,0.23,0,0.7
2021-03-15,0.003,3,0,0,-6.8
2021-03-12,6.8,6,1.13,0,-4.25
2021-03-11,11.051,7,1.58,0,10.95
2021-03-10,0.1,1,0.1,0,0.1
2021-03-09,0,0,NA,0,-0.03
2021-03-08,0.025,1,0.03,0,-0.98
2021-03-05,1,1,1,0,-1.1
2021-03-04,2.1,2,1.05,0,1.59
2021-03-03,0.507,8,0.06,0,0.5
2021-03-02,0.005,5,0,0,0
2021-03-01,0,0,NA,0,-11.2
2021-02-26,11.2,9,1.24,0,1.22
2021-02-25,9.976,11,0.91,0,9.98
2021-02-24,0.001,1,0,0,-0.43
2021-02-23,0.435,11,0.04,0,-0.66
2021-02-22,1.1,2,0.55,0,1.1
2021-02-19,0.002,2,0,0,0
2021-02-18,0,0,NA,0,-0.05
2021-02-17,0.05,1,0.05,0,0.05
2021-02-16,0.004,4,0,0,0
2021-02-12,0.001,1,0,0,-0.11
2021-02-11,0.108,9,0.01,0,0.11
2021-02-10,0,0,NA,0,0
2021-02-09,0.001,1,0,0,0
2021-02-08,0.002,2,0,0,-0.01
2021-02-05,0.01,1,0.01,0,-0.49
2021-02-04,0.5,1,0.5,0,0.32
2021-02-03,0.178,4,0.04,0,0.17
2021-02-02,0.011,11,0,0,0
2021-02-01,0.012,12,0,0,-7.09
2021-01-29,7.1,4,1.77,0,4.44
2021-01-28,2.655,7,0.38,0,1.5
2021-01-27,1.152,5,0.23,0,-0.48
2021-01-26,1.631,4,0.41,0,-0.57
2021-01-25,2.2,5,0.44,0,2.2
2021-01-22,0,0,NA,0,-1.2
2021-01-21,1.201,2,0.6,0,-0.6
2021-01-20,1.806,9,0.2,0,1.8
2021-01-19,0.004,4,0,NA,0
2021-01-15,0,0,NA,NA,-0.6
2021-01-14,0.6,1,0.6,NA,0.6
2021-01-13,0,0,NA,NA,0
2021-01-12,0,0,NA,NA,0
2021-01-11,0,0,NA,NA,0
2021-01-08,0,0,NA,NA,0
2021-01-07,0.001,1,0,NA,0
2021-01-06,0.004,4,0,NA,0
2021-01-05,0.005,5,0,NA,0
2021-01-04,0.001,1,0,NA,NA
